category,agency,account,project,state,amount,origination,requestor_one_full_name,requestor_one_bioguide_id,requestor_one_chamber,requestor_one_party,requestor_two_full_name,requestor_two_bioguide_id,requestor_two_chamber,requestor_two_party,member_state,LES,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","Commerce, Justice, Science, and Related Agencies",Defense,"Energy and Water Development, and Related Agencies",Financial Services and General Government,Homeland Security,"Interior, Environment, and Related Agencies","Labor, Health and Human Services, Education, and Related Agencies","Military Construction, Veterans Affairs, and Related Agencies","Transportation, and Housing and Urban Development, and Related Agencies",Relevant_Committee,party_status_majority
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Mt. Washington Valley Facility Improvements,NH,200000.0,S,Jeanne Shaheen,S001181,sen,Democrat,None,None,None,None,NH,1.0471760034561157,0,0,1,0,1,0,0,0,1,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Fire Sprinkler System,NH,100000.0,S,Jeanne Shaheen,S001181,sen,Democrat,None,None,None,None,NH,1.0471760034561157,0,0,1,0,1,0,0,0,1,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Northumberland Public Safety Building,NH,200000.0,S,Jeanne Shaheen,S001181,sen,Democrat,None,None,None,None,NH,1.0471760034561157,0,0,1,0,1,0,0,0,1,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Swanzey Center Fire Station,NH,200000.0,S,Jeanne Shaheen,S001181,sen,Democrat,None,None,None,None,NH,1.0471760034561157,0,0,1,0,1,0,0,0,1,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Penns Grove Facility Improvements,NJ,413000.0,S,Cory A. Booker,B001288,sen,Democrat,None,None,None,None,NJ,0.9123682975769043,1,1,0,0,0,0,0,0,0,0,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Foodbank Expansion,NJ,1050000.0,S,Cory A. Booker,B001288,sen,Democrat,None,None,None,None,NJ,0.9123682975769043,1,1,0,0,0,0,0,0,0,0,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Questa Fire Station,NM,1000000.0,S,Martin Heinrich,H001046,sen,Democrat,Ben Ray Luján,L000570,sen,Democrat,NM,0.89659184217453,0,0,1,0,1,0,1,0,0,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Questa Municipal Building Expansion,NM,350000.0,S,Martin Heinrich,H001046,sen,Democrat,Ben Ray Luján,L000570,sen,Democrat,NM,0.89659184217453,0,0,1,0,1,0,1,0,0,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Sunland Park Public Safety Complex,NM,950000.0,S,Martin Heinrich,H001046,sen,Democrat,None,None,None,None,NM,0.89659184217453,0,0,1,0,1,0,1,0,0,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Wagon Mound Senior Center,NM,164000.0,S,Ben Ray Luján,L000570,sen,Democrat,None,None,None,None,NM,1.4942545890808105,1,1,0,0,1,0,0,1,0,0,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Chemung Center for Innovation,NY,2750113.0,S,Charles E. Schumer,S000148,sen,Democrat,None,None,None,None,NY,0.32565510272979736,0,0,1,0,0,0,0,0,0,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Glen Falls City Hall Restoration,NY,439000.0,S,Kirsten E. Gillibrand,G000555,sen,Democrat,Charles E. Schumer,S000148,sen,Democrat,NY,0.7878498435020447,1,0,1,0,0,0,0,0,1,0,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,North Collins Community Center,NY,89000.0,S,Charles E. Schumer,S000148,sen,Democrat,None,None,None,None,NY,0.32565510272979736,0,0,1,0,0,0,0,0,0,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Herkimer County Daycare,NY,315000.0,S,Charles E. Schumer,S000148,sen,Democrat,None,None,None,None,NY,0.32565510272979736,0,0,1,0,0,0,0,0,0,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Family YMCA,NY,1973000.0,S,Charles E. Schumer,S000148,sen,Democrat,None,None,None,None,NY,0.32565510272979736,0,0,1,0,0,0,0,0,0,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Food and Agriculture Culinary Hub,NY,500000.0,S,Kirsten E. Gillibrand,G000555,sen,Democrat,Charles E. Schumer,S000148,sen,Democrat,NY,0.7878498435020447,1,0,1,0,0,0,0,0,1,0,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Greenhouse,NY,605000.0,S,Charles E. Schumer,S000148,sen,Democrat,None,None,None,None,NY,0.32565510272979736,0,0,1,0,0,0,0,0,0,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Healthy Neighborhoods Project,NY,44000.0,S,Charles E. Schumer,S000148,sen,Democrat,None,None,None,None,NY,0.32565510272979736,0,0,1,0,0,0,0,0,0,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Montville Fire Department Upgrades,OH,637000.0,S,Sherrod Brown,B000944,sen,Democrat,None,None,None,None,OH,1.41644287109375,1,0,0,0,1,0,0,0,1,1,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Arrowhead Fire District Expansion,OH,74000.0,S,Sherrod Brown,B000944,sen,Democrat,None,None,None,None,OH,1.41644287109375,1,0,0,0,1,0,0,0,1,1,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Sandy Creek Fire District Ladder Truck,OH,195000.0,S,Sherrod Brown,B000944,sen,Democrat,None,None,None,None,OH,1.41644287109375,1,0,0,0,1,0,0,0,1,1,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Fremont Community Amphitheater Project,OH,1608000.0,S,Sherrod Brown,B000944,sen,Democrat,None,None,None,None,OH,1.41644287109375,1,0,0,0,1,0,0,0,1,1,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Fremont Senior Center Expansion,OH,184000.0,S,Sherrod Brown,B000944,sen,Democrat,None,None,None,None,OH,1.41644287109375,1,0,0,0,1,0,0,0,1,1,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Government Services Building,OH,75000.0,S,Sherrod Brown,B000944,sen,Democrat,None,None,None,None,OH,1.41644287109375,1,0,0,0,1,0,0,0,1,1,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Police Department Building Project,OH,160000.0,S,Sherrod Brown,B000944,sen,Democrat,None,None,None,None,OH,1.41644287109375,1,0,0,0,1,0,0,0,1,1,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Broadband Solar Trailers,OR,50000.0,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,OR,1.6282490491867065,1,0,0,1,1,0,0,0,0,1,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Community Center in Response to Wildfire Recovery,OR,500000.0,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,OR,1.6282490491867065,1,0,0,1,1,0,0,0,0,1,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Community Connection Food Bank,OR,50000.0,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,OR,1.6282490491867065,1,0,0,1,1,0,0,0,0,1,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Oregon Food Bank,OR,100000.0,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,OR,1.6282490491867065,1,0,0,1,1,0,0,0,0,1,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Fossil Library,OR,50000.0,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,OR,1.6282490491867065,1,0,0,1,1,0,0,0,0,1,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Warm Springs Commissary Project,OR,450000.0,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,OR,1.6282490491867065,1,0,0,1,1,0,0,0,0,1,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,PA Foodbank Expansion,PA,250000.0,S,"Robert P. Casey, Jr.",C001070,sen,Democrat,None,None,None,None,PA,1.5613142251968384,0,0,1,0,1,0,0,1,0,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Cooperative Hub,RI,157000.0,S,Sheldon Whitehouse,W000802,sen,Democrat,None,None,None,None,RI,0.34029924869537354,1,1,0,1,1,0,0,0,0,1,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Warren Fire and EMS Center,RI,2000000.0,S,Jack Reed,R000122,sen,Democrat,None,None,None,None,RI,0.9055533409118652,0,0,1,0,1,0,0,0,1,1,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Modular Building Construction,RI,250000.0,S,Sheldon Whitehouse,W000802,sen,Democrat,None,None,None,None,RI,0.34029924869537354,1,1,0,1,1,0,0,0,0,1,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Richmond Police Station Renovations,RI,150000.0,S,Jack Reed,R000122,sen,Democrat,None,None,None,None,RI,0.9055533409118652,0,0,1,0,1,0,0,0,1,1,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Calfee Community Center,VA,38000.0,S,Mark R. Warner,W000805,sen,Democrat,None,None,None,None,VA,0.7782226800918579,0,0,1,0,1,0,0,0,0,1,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Historic Konnarock Training School,VA,50000.0,S,Tim Kaine,K000384,sen,Democrat,None,None,None,None,VA,1.1845417022705078,0,0,1,0,1,0,0,1,1,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Alburgh Childcare and Early Education Expansion,VT,189000.0,S,Bernard Sanders,S000033,sen,Independent,None,None,None,None,VT,0.19950705766677856,1,0,0,1,1,0,1,1,1,1,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Community Center Waste Water Project,VT,200000.0,S,Patrick J. Leahy,L000174,sen,Democrat,None,None,None,None,VT,0.4219821095466614,1,1,0,0,1,0,0,0,0,0,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Downtown Child Care Center,VT,750000.0,S,Patrick J. Leahy,L000174,sen,Democrat,None,None,None,None,VT,0.4219821095466614,1,1,0,0,1,0,0,0,0,0,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Catamount Film and Arts Facility Improvements,VT,109000.0,S,Patrick J. Leahy,L000174,sen,Democrat,None,None,None,None,VT,0.4219821095466614,1,1,0,0,1,0,0,0,0,0,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Jeudevine Memorial Library,VT,600000.0,S,Patrick J. Leahy,L000174,sen,Democrat,None,None,None,None,VT,0.4219821095466614,1,1,0,0,1,0,0,0,0,0,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Castleton Library,VT,125000.0,S,Bernard Sanders,S000033,sen,Independent,None,None,None,None,VT,0.19950705766677856,1,0,0,1,1,0,1,1,1,1,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Sheldon Store Restoration,VT,120000.0,S,Patrick J. Leahy,L000174,sen,Democrat,None,None,None,None,VT,0.4219821095466614,1,1,0,0,1,0,0,0,0,0,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Three Rivers Lamoille Valley Rail Trail,VT,543000.0,S,Patrick J. Leahy,L000174,sen,Democrat,None,None,None,None,VT,0.4219821095466614,1,1,0,0,1,0,0,0,0,0,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Columbia County Childcare Center,WA,413000.0,S,Maria Cantwell,C000127,sen,Democrat,None,None,None,None,WA,1.6083993911743164,0,1,0,0,1,0,1,0,0,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Dylan Jude Harrell Community Center,WA,1275000.0,S,Maria Cantwell,C000127,sen,Democrat,None,None,None,None,WA,1.6083993911743164,0,1,0,0,1,0,1,0,0,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Accessibility Updates,WI,23000.0,S,Tammy Baldwin,B001230,sen,Democrat,None,None,None,None,WI,0.5059313774108887,0,1,0,0,1,0,0,1,0,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Ambulance Services,WI,151000.0,S,Tammy Baldwin,B001230,sen,Democrat,None,None,None,None,WI,0.5059313774108887,0,1,0,0,1,0,0,1,0,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,College Student Housing,WI,5000000.0,S,Tammy Baldwin,B001230,sen,Democrat,None,None,None,None,WI,0.5059313774108887,0,1,0,0,1,0,0,1,0,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Food Pantry Upgrades,WI,54000.0,S,Tammy Baldwin,B001230,sen,Democrat,None,None,None,None,WI,0.5059313774108887,0,1,0,0,1,0,0,1,0,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Hospital Replacement Facility,WI,4000000.0,S,Tammy Baldwin,B001230,sen,Democrat,None,None,None,None,WI,0.5059313774108887,0,1,0,0,1,0,0,1,0,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Sparta Free Library,WI,250000.0,S,Tammy Baldwin,B001230,sen,Democrat,None,None,None,None,WI,0.5059313774108887,0,1,0,0,1,0,0,1,0,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Ridgeley Fire Station,WV,875000.0,S,"Joe Manchin, III",M001183,sen,Democrat,None,None,None,None,WV,1.1465733051300049,0,0,1,0,1,0,1,0,1,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Safety Complex Stair Replacement,WV,55000.0,S,"Joe Manchin, III",M001183,sen,Democrat,Shelley Moore Capito,C001047,sen,Republican,WV,1.1465733051300049,0,0,1,0,1,0,1,0,1,0,0,1
